Ranking,Title,Rating,Number of Reviews,Price
#1,"Fire TV Stick 4K with all-new Alexa Voice Remote, streaming media player",4.5,"9,633",$49.99
#2,"Fire TV Stick with all-new Alexa Voice Remote, streaming media player",4.6,409,$39.99
#3,All-new Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.6,"20,658",$49.99
#4,All-new Kindle Paperwhite – Now Waterproof with 2x the Storage – Includes Special Offers,4.2,"3,332",$99.99
#5,Echo (2nd Generation) - Smart speaker with Alexa - Charcoal Fabric,4.5,"39,019",$69.99
#6,Roku Express | Easy High Definition (HD) Streaming Media Player,4.3,"6,125",$29.88
#7,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa",4.2,"4,260",$25.98
#8,"Fujifilm Instax Mini Instant Film Value Pack - (3 Twin Packs, 60 Total Pictures)(Package may vary)",4.3,"6,394",$35.41
#9,"Fire 7 Tablet with Alexa, 7"" Display, 8 GB, Black - with Special Offers",3.8,"43,686",$49.99
#10,"NETGEAR R6700 Nighthawk AC1750 Dual Band Smart WiFi Router, Gigabit Ethernet (R6700)",4.1,"23,286",$89.99
#11,"AmazonBasics Microwave, Small, 0.7 Cu. Ft, 700W, Works with Alexa",4.1,556,$41.99
#12,All-new Echo Dot (3rd Gen) - Smart speaker with Alexa - Heather Gray,4.6,"20,658",$49.99
#13,Echo Dot (2nd Generation) - Smart speaker with Alexa - Black,4.3,"130,926",$22.99
#14,Echo Spot - Smart Display with Alexa - Black,4.4,"8,328",$99.99
#15,Echo (2nd Generation) - Smart speaker with Alexa - Heather Gray Fabric,4.5,"39,019",$69.99
#16,"Fujifilm Instax Mini Instant Film (3 Twin Packs, 60 Total Pictures) - International Version",4.4,"3,206",$39.00
#17,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision and 2-Way Audio, Works with Alexa",4.2,"1,521",$37.98
#18,"Ring Wi-Fi Enabled Video Doorbell in Satin Nickel, Works with Alexa",3.9,"30,708",$99.99
#19,"Roku Streaming Stick | Portable, Power-Packed Streaming Device with Voice Remote with Buttons for TV Power and Volume",4.2,"3,038",$45.65
#20,"Logitech MK270 Wireless Keyboard and Mouse Combo - Keyboard and Mouse Included, 2.4GHz Dropout-Free Connection, Long Battery Life (Frustration-Free Packaging)",3.8,"12,243",$19.99
#21,All-new Echo Dot (3rd Gen) - Smart speaker with Alexa - Sandstone,4.6,"20,658",$49.99
#22,"All-New Fire HD 8 Tablet | 8"" HD Display, 16 GB, Black - with Special Offers",4.1,"7,547",$79.99
#23,"Echo Dot Kids Edition, a smart speaker with Alexa for kids - blue case",3.9,"1,140",$34.99
#24,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Latest Model)",4.8,"1,304",$279.99
#25,Echo (2nd Generation) - Smart speaker with Alexa - Sandstone Fabric,4.5,"39,019",$69.99
#26,"Acer SB220Q bi 21.5"" Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port)",4.4,375,$89.99
#27,"Roku Ultra | HD/4K/HDR Streaming Media Player Voice Remote, Remote Finder & USB. Now includes Premium JBL Headphones. (2018)",4.5,842,$82.99
#28,All-new Echo Show (2nd Gen) – Premium sound and a vibrant 10.1” HD screen - Charcoal,4.4,"2,217",$179.99
#29,Ring Rechargeable Battery Pack,4.5,536,$29.00
#30,"HP 23.8-inch FHD IPS Monitor with Tilt/Height Adjustment and Built-in Speakers (VH240a, Black)",4.3,944,$109.99
#31,Roku Premiere | HD/4K/HDR Streaming Media Player with Simple Remote and Premium HDMI Cable,4.4,586,$39.98
#32,"Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Black - with Special Offers",4.2,"31,903",$149.99
#33,All-new Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Includes Special Offers,4.2,"3,332",$129.99
#34,"Apple iPad Pro (11-inch, Wi-Fi, 256GB) - Space Gray (Latest Model)",4.4,90,$895.93
#35,All-new Kindle Paperwhite – Now Waterproof with 2x the Storage,4.2,"3,332",$119.99
#36,All-new Echo Show (2nd Gen) Bundle with free Philips Hue Bulb - Charcoal,4.4,"2,217",$179.99
#37,Certified Refurbished Fire TV Stick with Alexa Voice Remote | Streaming Media Player,3.9,"3,489",$34.99
#38,Certified Refurbished Echo Dot (2nd Generation) - Black,4.2,"3,284",$24.99
#39,Ring Video Doorbell 2,4.1,"6,392",$199.00
#40,"GE Power Strip Surge Protector, 6 Outlets, 10 ft Extra Long Extension Cord, Flat Plug, 800 Joules, Safety Locks, Multi Outlet, Wall Mount, White, 14092",4.5,431,$12.80
#41,AmazonBasics 3-Outlet Surge Protector with 2 USB Ports,4.3,"1,798",$9.99
#42,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa (Pack of 2)",4.2,"4,260",$50.71
#43,"Google WiFi system, 3-Pack - Router replacement for whole home coverage (NLS-1304-25)",4.4,"5,415",$239.99
#44,"Fire TV Cube, hands-free with Alexa and 4K Ultra HD (includes all-new Alexa Voice Remote), streaming media player",3.9,"2,569",$119.99
#45,"RCA Digital Alarm Clock with Large 1.4"" Display",3.9,"4,848",$11.49
#46,"Apple iPad (Wi-Fi, 128GB) - Space Gray (Latest Model)",4.8,"1,304",$354.99
#47,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",4.7,424,$229.00
#48,Fujifilm Instax Mini Instant Polaroid Camera 300 7S 8 25 30 50S 55-20 Films Fuji,4.0,59,$16.37
#49,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Voice Remote with TV Power and Volume,4.3,"2,729",$59.00
#50,Toshiba 32LF221U19 32-inch 720p HD Smart LED TV - Fire TV Edition,4.1,"3,017",$129.99
